"filename", "language", "TypeScript", "JSON", "TypeScript React", "Less", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\.prettierrc", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 2, 1, 11
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\config\dev.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 2, 1, 26
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\config\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 80, 0, 4, 84
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\config\prod.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 9, 1, 34
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\global.d.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\package.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\project.config.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\app.config.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 7, 1, 102
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\app.less", "Less", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\app.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 3, 9, 37
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\assets\global-style.less", "Less", 0, 0, 0, 22, 0, 0, 0, 3, 5, 30
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\assets\question\choice.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 0, 2, 180
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\assets\question\crossword.ts", "TypeScript", 249, 0, 0, 0, 0, 0, 0, 0, 2, 251
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\assets\question\identification.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 2, 220
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\baseUI\loading\index.less", "Less", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\baseUI\loading\index.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\baseUI\progress-bar\index.less", "Less", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\baseUI\progress-bar\index.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\baseUI\search-box\index.less", "Less", 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
